id,host_id,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
37,63634,Brooklyn,Entire home/apt,385,2,7,1.32,1,355
38,63434,Manhattan,Private room,225,30,13,1.82,1,348
39,31231,Queens,Entire home/apt,170,7,8,3.33,1,265
40,17694,Brooklyn,Shared room,73,1,7,0.68,1,90
41,93684,Manhattan,Shared room,67,1,9,1.66,1,18
42,88252,Brooklyn,Entire home/apt,179,2,12,0.15,1,338
43,59704,Manhattan,Entire home/apt,180,1,6,1.56,1,116
44,14802,Staten Island,Private room,51,7,0,0.0,1,116
45,96404,Manhattan,Entire home/apt,242,5,10,1.86,1,275
46,57969,Queens,Entire home/apt,93,14,2,8.02,1,116
47,26524,Brooklyn,Private room,105,3,12,0.98,1,277
48,29032,Brooklyn,Entire home/apt,154,2,10,1.25,1,183
49,41501,Brooklyn,Private room,129,2,14,1.39,1,22
50,71692,Manhattan,Entire home/apt,121,1,28,2.48,1,217
51,71164,Staten Island,Entire home/apt,108,2,15,6.79,1,116
52,43666,Queens,Entire home/apt,141,30,16,3.91,1,190
53,49810,Staten Island,Shared room,27,3,22,1.1,1,341
54,83197,Bronx,Private room,50,1,7,0.47,1,136
55,71969,Queens,Private room,29,5,8,3.46,1,99
56,19695,Staten Island,Entire home/apt,140,1,21,1.94,1,177
57,97651,Manhattan,Entire home/apt,423,2,12,2.98,1,188
58,16955,Manhattan,Entire home/apt,388,5,2,0.56,1,227
59,67692,Manhattan,Entire home/apt,524,1,35,0.93,1,351
60,23670,Brooklyn,Private room,109,1,7,0.77,1,351
61,28724,Brooklyn,Private room,127,1,19,2.98,1,125
62,77682,Manhattan,Entire home/apt,323,7,0,0.0,1,225
63,81962,Bronx,Shared room,43,1,16,0.55,1,316
64,72759,Brooklyn,Entire home/apt,77,2,2,2.03,1,25
65,92583,Brooklyn,Shared room,32,1,20,0.34,1,117
66,78023,Brooklyn,Entire home/apt,440,2,16,2.05,1,229
67,57237,Manhattan,Entire home/apt,76,1,4,1.05,1,240
68,98518,Bronx,Entire home/apt,96,5,45,0.2,1,2
69,45772,Manhattan,Entire home/apt,564,3,9,3.91,1,193
70,30122,Staten Island,Private room,58,1,11,0.34,1,163
71,49657,Queens,Entire home/apt,105,14,5,2.58,1,328
72,42765,Manhattan,Entire home/apt,318,7,8,3.66,1,215
73,92557,Manhattan,Private room,129,1,11,2.11,1,89
74,29842,Bronx,Private room,56,1,12,3.6,1,301
75,58422,Queens,Private room,48,2,25,0.49,1,320
76,85170,Queens,Entire home/apt,241,3,6,0.89,1,104
77,27601,Queens,Private room,152,1,27,4.4,1,364
78,82937,Manhattan,Private room,146,5,5,5.41,1,104
79,21408,Brooklyn,Entire home/apt,86,1,24,9.08,1,337
80,43928,Manhattan,Entire home/apt,222,2,23,1.06,1,213
81,90648,Bronx,Entire home/apt,94,3,4,1.63,1,204
82,67867,Queens,Entire home/apt,173,5,31,3.34,1,46
83,12882,Brooklyn,Entire home/apt,106,7,13,1.26,1,114
84,33039,Manhattan,Entire home/apt,194,1,13,0.3,1,348
85,24036,Brooklyn,Private room,129,1,2,2.99,1,276
86,15560,Brooklyn,Private room,164,2,13,1.45,1,203
87,99825,Queens,Shared room,26,2,9,2.28,1,263
88,33445,Queens,Private room,33,7,5,3.2,1,329
89,38091,Bronx,Entire home/apt,633,1,5,2.9,1,174
90,38190,Brooklyn,Private room,150,3,24,2.32,1,211
91,92255,Manhattan,Private room,136,1,3,2.01,1,207
92,59651,Queens,Entire home/apt,212,7,7,2.75,1,364
93,76274,Queens,Private room,65,1,3,0.72,1,56
94,71000,Brooklyn,Shared room,83,2,7,1.26,1,239
95,81360,Queens,Private room,76,1,12,0.91,1,350
96,43494,Brooklyn,Private room,103,2,23,1.43,1,242
97,95713,Brooklyn,Entire home/apt,173,2,14,1.35,1,161
98,75795,Brooklyn,Entire home/apt,83,5,5,0.4,1,177
99,26649,Manhattan,Entire home/apt,859,1,5,0.96,1,249
100,76330,Manhattan,Private room,94,2,1,3.8,1,303
101,26494,Manhattan,Private room,74,3,10,1.24,1,169
102,86033,Queens,Shared room,33,3,15,1.82,1,101
103,94534,Brooklyn,Entire home/apt,108,5,21,8.85,1,305
104,95480,Brooklyn,Entire home/apt,179,7,5,2.23,1,121
105,78231,Staten Island,Private room,89,1,6,5.91,1,45
106,77854,Manhattan,Private room,272,5,8,2.06,1,343
107,13132,Brooklyn,Entire home/apt,288,1,2,1.18,1,41
108,48022,Queens,Entire home/apt,111,2,11,1.23,1,91
109,22668,Manhattan,Private room,162,3,33,2.29,1,279
110,53485,Manhattan,Private room,197,1,4,1.94,1,332
111,12711,Brooklyn,Entire home/apt,70,1,14,4.47,1,229
112,91939,Manhattan,Entire home/apt,405,30,31,11.67,1,137
113,96020,Staten Island,Shared room,15,1,14,3.67,1,281
114,39190,Bronx,Private room,170,1,14,1.92,1,224
115,72948,Queens,Entire home/apt,105,7,7,2.6,1,347
116,40207,Bronx,Entire home/apt,94,2,17,2.59,1,346
117,96777,Bronx,Private room,36,3,14,2.04,1,197
118,72665,Manhattan,Entire home/apt,209,1,3,1.19,1,188
119,60178,Bronx,Entire home/apt,363,1,18,1.11,1,250
120,10692,Brooklyn,Private room,164,1,12,2.2,1,50
121,38557,Bronx,Entire home/apt,44,1,6,0.79,1,80
122,94532,Bronx,Private room,126,1,4,1.56,1,255
123,73311,Brooklyn,Entire home/apt,355,1,7,6.2,1,334
124,62295,Manhattan,Private room,135,7,11,0.63,1,173
125,88797,Manhattan,Entire home/apt,350,2,3,1.16,1,2
126,96917,Brooklyn,Entire home/apt,182,1,10,1.26,1,329
127,82663,Bronx,Entire home/apt,308,1,7,3.91,1,348
128,87788,Bronx,Private room,36,14,10,2.38,1,70
129,92713,Manhattan,Private room,170,1,13,3.3,1,305
130,81108,Brooklyn,Entire home/apt,145,7,4,4.16,1,35
131,11761,Brooklyn,Private room,44,5,11,12.14,1,179
132,72049,Manhattan,Private room,525,3,10,0.37,1,43
133,73957,Manhattan,Shared room,43,3,5,18.85,1,85
134,79076,Brooklyn,Entire home/apt,208,2,6,4.44,1,269
135,22762,Staten Island,Private room,23,2,5,11.25,1,193
136,12854,Brooklyn,Entire home/apt,148,5,5,1.25,1,176
137,24703,Brooklyn,Entire home/apt,232,7,7,1.94,1,82
138,99283,Queens,Shared room,23,3,22,0.76,1,154
139,47957,Brooklyn,Private room,135,5,3,0.48,1,1
140,54638,Staten Island,Entire home/apt,99,7,17,1.72,1,76
141,25172,Staten Island,Entire home/apt,218,1,14,1.24,1,46
142,33685,Manhattan,Private room,333,3,10,1.4,1,187
143,24465,Brooklyn,Private room,71,2,13,0.88,1,137
144,22544,Brooklyn,Entire home/apt,192,1,6,2.38,1,188
145,40013,Brooklyn,Shared room,57,3,8,2.06,1,295
146,26109,Manhattan,Entire home/apt,416,3,3,1.95,1,4
147,14842,Queens,Entire home/apt,132,1,10,0.87,1,269
148,66434,Brooklyn,Private room,109,1,11,0.82,1,222
149,95711,Manhattan,Entire home/apt,259,1,3,1.81,1,88
150,43763,Manhattan,Entire home/apt,315,7,8,0.71,1,197
151,38446,Staten Island,Private room,125,1,11,2.18,1,331
152,31525,Manhattan,Private room,224,2,18,0.68,1,110
153,38026,Manhattan,Entire home/apt,435,1,4,4.14,1,241
154,67420,Brooklyn,Shared room,77,1,3,1.0,1,150
155,23084,Staten Island,Private room,56,5,17,5.68,1,78
156,96095,Manhattan,Entire home/apt,353,7,6,2.69,1,240
157,68657,Queens,Private room,38,3,12,0.87,1,76
158,42695,Queens,Entire home/apt,264,7,4,2.23,1,141
159,42186,Manhattan,Entire home/apt,64,7,12,4.52,1,136
160,41309,Queens,Private room,66,1,24,0.96,1,347
161,17151,Brooklyn,Shared room,97,3,14,1.12,1,288
162,55454,Queens,Entire home/apt,62,5,12,2.15,1,288
163,70696,Queens,Entire home/apt,163,3,30,3.93,1,294
164,78216,Brooklyn,Entire home/apt,127,7,7,1.51,1,288
165,15657,Manhattan,Entire home/apt,242,3,10,2.23,1,3
166,23451,Bronx,Entire home/apt,175,1,5,4.92,1,337
167,39375,Brooklyn,Entire home/apt,205,3,0,0.0,1,281
168,75584,Manhattan,Private room,51,3,18,0.71,1,24
169,56318,Manhattan,Entire home/apt,173,3,0,0.0,1,226
170,52727,Queens,Entire home/apt,224,1,19,2.75,1,245
171,92322,Queens,Private room,89,1,23,0.51,1,358
172,81671,Manhattan,Private room,411,7,4,5.9,1,209
173,31961,Brooklyn,Entire home/apt,464,2,12,2.89,1,232
174,90574,Manhattan,Entire home/apt,245,1,21,2.42,1,65
175,24271,Queens,Private room,276,1,5,1.5,1,334
176,28321,Manhattan,Entire home/apt,300,1,9,1.08,10,199
177,27250,Queens,Entire home/apt,77,1,10,2.1,1,93
178,59073,Brooklyn,Private room,69,30,2,3.96,1,302
179,85404,Staten Island,Entire home/apt,33,7,11,0.82,1,120
180,86609,Manhattan,Entire home/apt,716,1,6,1.6,1,166
181,57011,Brooklyn,Entire home/apt,442,5,22,3.34,1,215
182,45221,Manhattan,Entire home/apt,169,3,21,3.99,1,360
183,13710,Staten Island,Entire home/apt,102,1,5,0.98,1,191
184,33891,Bronx,Shared room,31,5,20,1.83,1,243
185,20374,Manhattan,Entire home/apt,175,1,9,1.13,1,139
186,34924,Queens,Entire home/apt,50,5,7,1.86,1,35
187,14847,Bronx,Entire home/apt,93,7,15,1.96,1,13
188,31910,Brooklyn,Private room,82,7,1,1.91,1,306
189,86676,Brooklyn,Private room,79,5,19,4.27,1,182
190,50710,Manhattan,Entire home/apt,335,14,25,1.79,1,333
191,28297,Manhattan,Private room,345,5,7,0.46,1,155
192,17012,Bronx,Entire home/apt,88,3,6,0.91,1,42
193,59544,Staten Island,Entire home/apt,127,1,6,15.5,1,147
194,31010,Queens,Entire home/apt,196,1,19,0.9,1,173
195,65128,Brooklyn,Entire home/apt,250,5,2,2.53,1,80
196,13264,Brooklyn,Entire home/apt,131,30,14,5.05,1,29
197,38906,Queens,Private room,73,5,12,7.01,1,103
198,51795,Bronx,Entire home/apt,141,3,4,1.91,1,299
199,23766,Bronx,Private room,30,1,24,3.41,1,123
200,77282,Queens,Entire home/apt,263,14,4,1.6,1,82
201,57283,Queens,Entire home/apt,288,3,5,0.93,1,72
202,47846,Manhattan,Entire home/apt,199,2,13,1.64,1,170
203,77611,Manhattan,Private room,175,7,4,0.99,1,63
204,12012,Bronx,Entire home/apt,148,14,18,5.25,1,123
205,33851,Queens,Private room,52,2,5,7.1,1,128
206,68138,Manhattan,Entire home/apt,386,2,13,1.99,1,304
207,94335,Manhattan,Entire home/apt,324,1,1,0.84,1,274
208,61757,Queens,Entire home/apt,59,14,5,0.74,1,108
209,79021,Manhattan,Entire home/apt,381,1,4,4.64,1,267
210,33036,Manhattan,Entire home/apt,162,14,9,0.91,1,118
211,53833,Brooklyn,Entire home/apt,308,1,17,0.46,1,235
212,18757,Queens,Private room,48,14,6,3.66,1,27
213,79399,Queens,Entire home/apt,120,2,35,2.54,1,108
214,97519,Manhattan,Private room,334,3,3,0.69,1,315
215,95066,Queens,Entire home/apt,172,1,5,1.58,1,204
216,76973,Manhattan,Entire home/apt,163,2,6,3.41,1,244
217,15754,Brooklyn,Private room,56,2,4,2.83,1,106
218,34298,Queens,Entire home/apt,94,1,12,1.32,1,52
219,12488,Queens,Entire home/apt,163,3,5,0.86,1,10
220,61380,Bronx,Private room,67,7,7,0.97,1,214
221,88461,Queens,Private room,44,1,24,2.11,1,57
222,74965,Brooklyn,Entire home/apt,97,2,20,3.32,1,117
223,49123,Manhattan,Entire home/apt,346,1,8,2.46,1,46
224,32665,Brooklyn,Private room,88,7,27,0.68,1,92
225,79741,Manhattan,Entire home/apt,970,1,7,2.72,1,62
226,60560,Manhattan,Private room,160,1,8,0.51,1,13
227,68667,Staten Island,Entire home/apt,312,7,10,5.86,1,6
228,33610,Brooklyn,Entire home/apt,97,2,7,6.6,1,218
229,94811,Bronx,Private room,23,1,8,1.51,1,278
230,29131,Queens,Private room,38,3,7,0.99,1,336
231,82575,Queens,Entire home/apt,252,5,4,2.53,1,309
232,32159,Brooklyn,Entire home/apt,483,3,15,1.08,1,61
233,84574,Brooklyn,Private room,64,1,7,0.74,1,270
234,37837,Brooklyn,Private room,76,2,13,0.43,1,266
235,41193,Manhattan,Entire home/apt,156,14,13,4.9,1,310
236,47047,Queens,Private room,26,2,12,3.34,1,92
237,10970,Brooklyn,Private room,145,2,3,1.06,1,25
238,46482,Manhattan,Private room,178,5,9,2.45,1,46
239,19601,Queens,Private room,70,1,20,1.18,1,216
240,30651,Manhattan,Entire home/apt,137,1,9,1.36,1,258
241,34188,Staten Island,Private room,151,1,15,1.17,1,274
242,78447,Staten Island,Private room,46,3,10,3.21,1,347
243,95078,Staten Island,Entire home/apt,154,3,3,1.22,1,337
244,71355,Brooklyn,Entire home/apt,83,5,20,0.9,1,180
245,33063,Manhattan,Entire home/apt,267,2,7,0.78,1,76
246,43804,Staten Island,Private room,72,1,4,0.57,1,338
247,56080,Brooklyn,Entire home/apt,220,1,12,2.07,1,299
248,47252,Staten Island,Private room,67,7,5,0.54,1,31
249,42756,Staten Island,Private room,80,1,14,4.5,1,298
250,24442,Bronx,Private room,30,3,14,2.22,1,5
251,81820,Brooklyn,Private room,109,1,8,0.18,1,157
252,18164,Brooklyn,Shared room,55,1,26,1.08,1,73
253,86551,Bronx,Entire home/apt,118,1,22,0.73,1,157
254,71618,Brooklyn,Private room,102,30,16,0.27,1,72
255,67264,Manhattan,Entire home/apt,147,1,21,3.31,1,133
256,47551,Brooklyn,Private room,47,1,5,2.58,1,127
257,20023,Staten Island,Entire home/apt,34,2,4,3.8,1,236
258,93627,Queens,Shared room,58,2,5,1.96,1,325
259,42731,Brooklyn,Private room,154,14,2,4.17,1,211
260,38124,Manhattan,Private room,250,1,21,2.52,1,208
261,43844,Queens,Entire home/apt,155,5,8,3.81,1,1
262,97715,Staten Island,Entire home/apt,36,3,2,2.95,1,9
263,95075,Manhattan,Private room,89,2,11,3.29,1,60
264,28500,Brooklyn,Entire home/apt,202,1,4,2.87,1,0
265,62166,Bronx,Private room,60,1,5,1.12,1,289
266,31669,Queens,Entire home/apt,116,1,10,0.4,1,238
267,42902,Queens,Private room,85,1,0,0.0,1,244
268,24410,Queens,Entire home/apt,132,1,15,1.21,1,291
269,28170,Brooklyn,Private room,104,30,11,0.65,1,167
270,18394,Brooklyn,Private room,69,2,12,1.55,1,223
271,15843,Bronx,Entire home/apt,178,2,3,1.42,1,55
272,14384,Bronx,Entire home/apt,82,3,1,2.6,1,16
273,79938,Bronx,Entire home/apt,50,1,7,3.34,1,315
274,99481,Staten Island,Private room,40,2,6,2.24,1,166
275,98999,Brooklyn,Private room,81,1,9,1.26,1,132
276,87314,Brooklyn,Private room,169,30,4,0.31,1,320
277,30631,Queens,Entire home/apt,128,2,12,1.12,1,222
278,97169,Queens,Entire home/apt,118,1,9,1.69,1,17
279,93990,Queens,Entire home/apt,66,3,47,7.05,1,68
280,34617,Queens,Entire home/apt,202,1,18,0.56,1,61
281,59433,Bronx,Entire home/apt,73,5,3,0.31,1,344
282,84065,Brooklyn,Shared room,49,14,5,2.6,1,326
283,28559,Brooklyn,Private room,221,14,16,1.7,1,93
284,10815,Manhattan,Entire home/apt,392,2,2,0.84,1,318
285,41816,Brooklyn,Private room,40,5,35,2.97,1,145
286,32624,Manhattan,Private room,59,1,4,0.61,1,150
287,12442,Brooklyn,Entire home/apt,178,1,9,10.91,1,24
288,35065,Brooklyn,Entire home/apt,94,7,3,3.59,1,299
289,48056,Brooklyn,Entire home/apt,263,3,7,3.44,1,280
290,73549,Queens,Entire home/apt,134,14,14,2.0,1,99
291,26471,Manhattan,Shared room,91,14,15,2.17,1,111
292,63655,Manhattan,Private room,107,1,13,1.2,1,284
293,84783,Bronx,Entire home/apt,271,1,37,2.3,1,59
294,70505,Brooklyn,Entire home/apt,879,2,6,2.16,8,112
295,87728,Manhattan,Private room,135,3,10,4.79,1,117
296,65297,Brooklyn,Private room,119,1,20,1.58,1,4
297,85969,Queens,Private room,74,2,2,2.02,15,193
298,71716,Manhattan,Private room,136,1,20,0.66,1,179
299,39014,Queens,Entire home/apt,83,2,19,3.49,1,213
300,40819,Manhattan,Private room,87,1,12,1.82,1,340
301,78416,Manhattan,Private room,84,3,4,2.31,1,107
302,51247,Brooklyn,Entire home/apt,230,1,9,2.9,1,123
303,65196,Brooklyn,Private room,73,2,3,2.38,1,167
304,91476,Queens,Entire home/apt,32,14,28,1.12,1,188
305,37157,Queens,Entire home/apt,168,1,17,4.25,1,286
306,30548,Staten Island,Entire home/apt,113,5,29,2.32,1,88
307,79372,Brooklyn,Entire home/apt,386,3,18,1.55,1,24
308,66052,Brooklyn,Entire home/apt,226,7,15,2.89,1,95
309,88914,Queens,Entire home/apt,58,1,3,2.46,1,121
310,80136,Manhattan,Entire home/apt,87,1,14,1.18,1,185
311,79600,Brooklyn,Entire home/apt,124,30,4,3.88,1,60
312,20587,Manhattan,Entire home/apt,210,2,16,3.88,1,327
313,65562,Manhattan,Entire home/apt,497,1,5,0.25,1,13
314,36578,Staten Island,Private room,61,14,2,0.66,1,133
315,82293,Bronx,Entire home/apt,194,1,23,0.54,1,118
316,63820,Queens,Entire home/apt,63,2,7,0.49,21,22
317,56089,Brooklyn,Private room,166,5,13,4.02,1,78
318,78342,Manhattan,Private room,234,5,12,0.83,1,163
319,71899,Manhattan,Private room,52,1,9,3.54,1,127
320,77104,Manhattan,Entire home/apt,613,1,15,2.33,1,11
321,72655,Brooklyn,Entire home/apt,194,7,0,0.0,1,220
322,76318,Queens,Private room,86,3,1,1.06,1,64
323,20236,Queens,Entire home/apt,82,3,8,0.87,1,224
324,35547,Manhattan,Entire home/apt,597,2,3,0.87,1,183
325,43969,Staten Island,Entire home/apt,60,5,9,2.67,1,20
326,72724,Queens,Private room,110,1,2,2.12,1,189
327,40592,Brooklyn,Entire home/apt,289,1,8,0.16,1,20
328,96821,Queens,Private room,41,30,10,4.87,1,90
329,29041,Brooklyn,Private room,291,1,11,1.34,1,1
330,39195,Manhattan,Entire home/apt,336,30,2,1.82,1,149
331,92205,Brooklyn,Private room,140,14,12,3.05,1,8
332,85530,Queens,Private room,30,5,21,0.64,1,171
333,86843,Manhattan,Private room,504,3,4,0.5,1,348
334,55229,Manhattan,Entire home/apt,151,1,49,0.82,1,258
335,36182,Manhattan,Private room,276,3,8,4.29,1,341
336,67011,Manhattan,Entire home/apt,171,5,7,1.67,1,323
337,53033,Bronx,Shared room,21,5,18,3.96,1,215
338,11306,Queens,Entire home/apt,202,1,10,0.23,6,127
339,41712,Brooklyn,Entire home/apt,324,2,7,1.41,1,129
340,28726,Manhattan,Private room,78,3,9,0.63,1,142
341,93428,Brooklyn,Private room,178,3,5,3.77,1,215
342,30168,Brooklyn,Private room,174,7,14,1.16,1,49
343,48651,Manhattan,Entire home/apt,177,3,18,0.7,1,135
344,93677,Brooklyn,Entire home/apt,443,1,14,1.26,1,103
345,60227,Brooklyn,Shared room,23,1,25,0.42,10,180
346,47639,Queens,Private room,49,1,10,1.68,1,4
347,38416,Queens,Private room,91,1,10,0.64,1,199
348,19125,Manhattan,Entire home/apt,185,2,9,0.66,1,173
349,43082,Brooklyn,Entire home/apt,213,1,4,1.61,1,38
350,76025,Queens,Private room,80,1,18,0.29,1,365
351,81943,Brooklyn,Private room,88,1,23,1.22,1,287
352,99767,Bronx,Entire home/apt,164,2,16,1.04,1,350
353,29241,Queens,Private room,61,14,7,4.74,1,315
354,75275,Manhattan,Private room,179,30,6,2.85,1,125
355,62341,Manhattan,Entire home/apt,556,1,5,0.86,1,16
356,36015,Queens,Entire home/apt,203,7,9,0.82,1,250
357,74493,Manhattan,Entire home/apt,456,2,17,2.25,1,127
358,87764,Queens,Private room,37,3,3,1.63,24,241
359,57706,Staten Island,Entire home/apt,154,2,9,4.78,1,171
360,62748,Brooklyn,Entire home/apt,113,14,5,1.96,1,334
361,14457,Brooklyn,Private room,48,2,14,1.97,1,300
362,99460,Queens,Entire home/apt,126,1,4,2.83,1,91
363,50630,Brooklyn,Entire home/apt,112,5,3,5.87,1,175
364,75395,Brooklyn,Entire home/apt,284,2,4,1.81,1,221
365,52635,Staten Island,Entire home/apt,180,1,11,3.08,1,14
366,26262,Brooklyn,Private room,34,2,10,1.59,1,165
367,41625,Staten Island,Entire home/apt,73,3,19,0.91,1,173
368,97504,Staten Island,Private room,27,1,20,2.83,1,334
369,15373,Manhattan,Private room,122,14,14,0.99,1,229
370,67508,Manhattan,Entire home/apt,380,7,19,0.64,1,178
371,36031,Manhattan,Entire home/apt,259,3,15,1.18,1,161
372,57040,Manhattan,Entire home/apt,214,1,14,2.61,1,291
373,49692,Manhattan,Entire home/apt,605,3,15,1.56,1,19
374,96166,Queens,Private room,20,2,0,0.0,1,363
375,30976,Manhattan,Private room,310,5,11,3.49,1,12
376,12281,Brooklyn,Entire home/apt,136,1,3,10.95,1,43
377,11810,Bronx,Entire home/apt,100,3,4,1.5,1,44
378,59801,Manhattan,Entire home/apt,221,3,15,2.72,1,302
379,34455,Bronx,Private room,129,2,5,5.63,1,20
380,42143,Brooklyn,Entire home/apt,93,1,1,0.5,1,45
381,89010,Manhattan,Entire home/apt,298,2,27,5.21,1,258
382,70773,Queens,Entire home/apt,175,3,14,0.47,1,213
383,85577,Queens,Private room,29,14,32,5.27,1,92
384,36864,Bronx,Private room,33,2,11,2.24,1,221
385,67040,Queens,Entire home/apt,121,3,15,1.48,1,343
386,95423,Bronx,Entire home/apt,64,3,30,0.72,1,344
387,75967,Brooklyn,Shared room,33,1,14,0.58,1,147
388,84262,Manhattan,Entire home/apt,244,1,5,1.27,1,294
389,24646,Queens,Private room,100,5,10,1.13,1,149
390,68479,Bronx,Entire home/apt,86,2,34,0.93,1,301
391,12993,Staten Island,Private room,111,7,2,1.16,1,82
392,51141,Brooklyn,Entire home/apt,106,14,9,3.14,1,31
393,64268,Brooklyn,Shared room,26,1,4,6.07,1,242
394,65724,Queens,Private room,201,1,10,1.2,1,25
395,14422,Brooklyn,Private room,68,1,7,1.75,1,299
396,28069,Staten Island,Private room,30,1,27,0.7,1,263
397,20316,Bronx,Private room,21,5,24,1.27,1,316
398,92277,Brooklyn,Entire home/apt,332,1,8,0.97,1,266
399,92095,Queens,Private room,58,7,3,3.1,1,186
400,35805,Queens,Shared room,32,2,8,0.8,1,231
401,96726,Manhattan,Entire home/apt,271,1,5,2.33,1,15
402,34575,Staten Island,Private room,107,2,8,0.79,1,360
403,99682,Brooklyn,Private room,89,3,22,6.96,1,202
404,43978,Bronx,Private room,201,5,17,3.06,1,265
405,60118,Brooklyn,Entire home/apt,198,1,39,1.78,1,250
406,49867,Bronx,Entire home/apt,186,30,3,3.83,1,58
407,29930,Brooklyn,Entire home/apt,287,2,4,3.29,1,52
408,27773,Manhattan,Entire home/apt,290,7,13,2.72,9,40
409,69210,Staten Island,Entire home/apt,83,1,9,0.7,1,4
410,62872,Manhattan,Entire home/apt,355,5,3,4.19,1,2
411,88630,Brooklyn,Entire home/apt,244,3,27,4.07,1,360
412,78930,Staten Island,Shared room,24,3,7,1.15,1,71
413,54919,Staten Island,Entire home/apt,126,2,10,2.73,1,283
414,17847,Brooklyn,Entire home/apt,363,2,5,0.32,1,165
415,22346,Queens,Entire home/apt,410,14,21,0.4,1,65
416,92132,Brooklyn,Entire home/apt,294,2,14,1.6,1,317
417,30760,Brooklyn,Private room,272,1,15,3.66,1,261
418,11412,Brooklyn,Private room,69,5,12,2.29,1,274
419,33936,Queens,Private room,103,2,0,0.0,1,145
420,19981,Queens,Entire home/apt,274,2,11,1.89,1,61
421,34301,Queens,Private room,43,5,34,1.85,1,37
422,50941,Queens,Entire home/apt,100,3,0,0.0,1,294
423,57242,Manhattan,Entire home/apt,770,3,3,3.0,1,275
424,68720,Brooklyn,Entire home/apt,108,14,12,2.73,1,215
425,44915,Manhattan,Entire home/apt,142,1,4,7.09,6,55
426,89058,Brooklyn,Entire home/apt,426,1,9,2.9,1,129
427,23734,Brooklyn,Entire home/apt,355,7,14,10.63,1,227
428,19388,Bronx,Shared room,37,5,21,1.14,1,143
429,66760,Brooklyn,Entire home/apt,179,1,7,4.3,1,98
430,47713,Manhattan,Entire home/apt,233,1,3,7.07,1,134
431,89651,Manhattan,Entire home/apt,346,7,15,0.58,1,157
432,50791,Queens,Private room,166,3,0,0.0,1,34
433,46616,Queens,Entire home/apt,150,7,2,1.97,1,294
434,16772,Manhattan,Private room,518,14,7,2.6,1,143
435,73022,Manhattan,Shared room,51,1,3,8.23,1,15
436,74511,Queens,Entire home/apt,130,30,13,1.1,1,287
437,34812,Manhattan,Entire home/apt,241,5,6,0.31,1,326
438,68358,Bronx,Entire home/apt,57,7,21,2.06,1,344
439,92746,Queens,Private room,64,3,11,1.73,1,86
440,86041,Manhattan,Entire home/apt,372,1,1,2.39,1,257
441,16017,Manhattan,Entire home/apt,395,3,5,0.82,1,100
442,60022,Staten Island,Entire home/apt,380,2,11,0.39,1,42
443,98448,Brooklyn,Private room,126,14,14,6.93,1,213
444,22457,Brooklyn,Entire home/apt,346,3,0,0.0,1,17
445,79913,Bronx,Entire home/apt,108,1,4,6.97,1,124
446,70140,Staten Island,Private room,154,3,6,0.61,1,190
447,49547,Staten Island,Private room,229,1,22,1.87,1,109
